document_id,process_id,title,folder,agency,action_type,state,register_date,total_count
5495,1002012,I-15 Corridor Project Transportation Improvements from Montana City to the Lincoln Road Interchange Funding and US Army COE Section 404 Permit Issuance Jefferson and Lewis & Clark Counties MT,EisDocument-UOFA-00507,Federal Highway Administration,Transportation,MT,11/21/03,1
8287,1003032,Navajo National Monument General Management Plan and Development Concept Plan Implementation Navajo Counties AZ,EisDocument-UOFA-01872,National Park Service,Land Management Plan,AZ,11/7/03,2
4650,1001709,Glacier Bay National Park and Preserve Vessel Quotas and Operating Requirements for Cruise Ships and Tour Charter and Private Vessels Implementation AK,EisDocument-UOFA-01787,National Park Service,Energy generation/transmission;Land Exchange,AK,10/10/03,3
10869,1003958,Salmon-Challis National Forest Noxious Weed Management Program Integrated Series of Weed Treatment and Non-Treatment Practices Implementation Custer Lemhi Butte and Blaine Counties ID,EisDocument-UOFA-01523,Forest Service,Conservation/Restoration/ Bio. Resource use,ID,10/3/03,3
12018,1004396,St. Lawrence-FDR Hydroelectric Project Application for New License (Relicense) (FERC No. 200-036) Located on the St. Lawrence River Messina NY,EisDocument-UOFA-02066,Federal Energy Regulatory Commission,Energy generation/transmission,NY,10/3/03,1
2685,1000958,Cook Inlet Beluga Whale Stock Federal Actions Associated with the Management and Recovery Implementation Cook Inlet AK,EisDocument-UOFA-02086,National Oceanic and Atmospheric Administration,Conservation/Restoration/ Bio. Resource use,AK,9/26/03,9
5271,2000478,Hells Canyon National Recreation Area (HCNRA) Comprehensive Management Plan Revised and Updated Information on Five Alternatives Implementation Wallowa-Whitman National Forest Nez Perce and Payette National Forests Bake and Wallowa Counties OR and Nez Perce and Adam Counties ID,EisDocument-UOFA-00170,Forest Service,Conservation/Restoration/ Bio. Resource use;Land Management Plan,ID,8/22/03,4
11413,1004169,Silvies Canyon Watershed Restoration Project Additional Information concerning Ecosystem Health Improvements in the Watershed Grant and Harney Counties OR,EisDocument-UOFA-01309,Forest Service,Conservation/Restoration/ Bio. Resource use,OR,8/22/03,2
8950,1003289,Oahu Primary Corridor Transportation Project Improvements from Kapolei in the west to the University of Hawaii-Manoa and Waikiki in the east Major Investment Study In the City and County of Honolulu HI,EisDocument-UOFA-00619,Federal Transit Administration,Transportation,HI,8/8/03,3
11892,2001055,Southwest Idaho Ecogroup Boise National Forest Payette National Forest and Sawtooth National Forest Forest Plan Revision Implementation Several Counties ID; Malhaur County OR and Box Elder County UT,EisDocument-UOFA-01212,Forest Service,Conservation/Restoration/ Bio. Resource use,ID;UT,8/8/03,9
3977,1001443,Finger Mountain Timber Sales Timber Harvesting Implementation US Coast Guard NPDES and COE Section 10 and 404 Permits Tongass National Forest Sitka Ranger District AK,EisDocument-UOFA-00830,Forest Service,Land Management Plan,AK,8/1/03,4
13515,1004791,Upper Bear Timber Sale Project Fuel Reduction Forest Vegetation and Roads Management Implementation Payette National Forest Council Ranger District Adams County ID,EisDocument-UOFA-01556,Forest Service,Conservation/Restoration/ Bio. Resource use,ID,7/18/03,1
11997,1004390,St. Augustine Bridge of Lions (SR AIA) Rehabilitation or Replacement of the existing two lane bridge Crossing of the Matanzas River/Intracoastal Waterway US Coast Guard Bridge Permit and NPDES Permit Issuance St. Augustine St. John County FL,EisDocument-UOFA-00730,Federal Highway Administration,Transportation,FL,7/3/03,2
4525,1001635,Gaylord North Timber Sale Project Harvesting Timber Council Ranger District Payette National Forest Adam County ID,EisDocument-UOFA-01462,Forest Service,Conservation/Restoration/ Bio. Resource use,ID,6/20/03,2
9858,1003499,Pineknot Woodland Restoration Project Open Shortleaf Pine Woodland Restoration Implementation Doniphan/Eleven Point Ranger District Mark Twain National Forest Carter County MO,EisDocument-UOFA-01147,Forest Service,Conservation/Restoration/ Bio. Resource use,MO,5/23/03,1
