document_id,process_id,title,folder,agency,action_type,state,register_date,total_count
15180,2000636,Malibu Creek Ecosystem Restoration Study,EisDocuments-304137,U.S. Army Corps of Engineers,Conservation/Restoration/ Bio. Resource use,CA,8/21/20,3
15600,2001233,Willow Master Development Plan Final Environmental Impact Statement,EisDocuments-303745,Bureau of Land Management,Mineral Resource Extraction,AK,8/14/20,161
14823,2000229,Columbia River System Operations,EisDocuments-302981,U.S. Army Corps of Engineers,Conservation/Restoration/ Bio. Resource use;Mineral Resource Extraction,ID;MT;OR;WA;Pacific Ocean,7/31/20,19
14837,2000247,Converse County Oil and Gas Project,EisDocuments-292621,Bureau of Land Management,Mineral Resource Extraction,WY,7/31/20,1
15368,2000907,Proposed Habitat Conservation Plan and Incidental Take Permit Sierra Pacific Industries,EisDocuments-302868,Fish and Wildlife Service,Conservation/Restoration/ Bio. Resource use,CA,7/31/20,3
15314,2000821,Pebble Mine,EisDocuments-301934,U.S. Army Corps of Engineers,Mineral Resource Extraction,AK,7/24/20,56
14804,211,Chicago Area Waterway System Dredged Material Management Plan,EisDocuments-301454,U.S. Army Corps of Engineers,Water Works,IL,7/17/20,1
15449,2001011,Shasta Agness Landscape Restoration Project,EisDocuments-300485,Forest Service,Conservation/Restoration/ Bio. Resource use,OR,7/17/20,4
14968,2000358,Flat Country,EisDocuments-298862,Forest Service,Conservation/Restoration/ Bio. Resource use,OR,6/26/20,1
15250,2000724,National Petroleum Reserve in Alaska Final Integrated Activity Plan and Environmental Impact Statement,EisDocuments-299087,Bureau of Land Management,Mineral Resource Extraction,AK,6/26/20,199
14770,2000166,Calf-Copeland Restoration Project,EisDocuments-294965,Forest Service,Conservation/Restoration/ Bio. Resource use,OR,4/24/20,2
14755,85,Browns Canyon National Monument Proposed Resource Management Plan,EisDocuments-294442,Bureau of Land Management,Land Management Plan,CO,4/17/20,1
14951,3000064,Final EIS for The Safer Affordable Fuel-Efficient (SAFE) Vehicles Rule for Model Year 2021-2026 Passenger Cars and Light Trucks,EisDocuments-293903,National Highway Traffic Safety Administration,Transportation,REG,4/10/20,6
15405,2000954,Rio Grande Forest Plan Revision,EisDocuments-294046,Forest Service,Land Management Plan,CO,4/10/20,11
15268,2000749,North County Corridor New State Route 108 Project and Route Adoption,EisDocuments-293651,California Department of Transportation,Transportation,CA,4/3/20,1
15540,2001132,Tri-State Fuel Breaks Project,EisDocuments-293661,Bureau of Land Management,Land Management Plan,OR;ID;NV,4/3/20,1
14687,2000037,Ambler Road Final Environmental Impact Statement,EisDocuments-293421,Bureau of Land Management,Mineral Resource Extraction,AK,3/27/20,55
14680,2000022,Alaska LNG Project,EisDocuments-292761,Federal Energy Regulatory Commission,Energy generation/transmission,AK,3/13/20,98
14730,2000100,Bear Creek Cluster Allotment Management Plans,EisDocuments-292521,Forest Service,Conservation/Restoration/ Bio. Resource use,OR,3/13/20,2
15085,697,I-93 Exit 4A,EisDocuments-291834,Federal Highway Administration,Transportation,NH,2/28/20,1
14817,252,Coeur Rochester and Packard Mines POA11 Project,EisDocuments-289930,Bureau of Land Management,Mineral Resource Extraction,NV,2/14/20,1
14981,2000372,Four Rivers Field Office Proposed Resource Management Plan and Final Environmental Impact Statement,EisDocuments-290041,Bureau of Land Management,Land Management Plan,ID,2/14/20,2
15144,883,Lewistown Proposed Resource Management Plan and Final EIS,EisDocuments-289905,Bureau of Land Management,Land Management Plan,MT,2/14/20,1
15356,2000901,Programmatic EIS for Fuel Breaks in the Great Basin,EisDocuments-290046,Bureau of Land Management,Conservation/Restoration/ Bio. Resource use,CA;ID;NV;OR;UT;WA,2/14/20,1
15173,2000631,Loxahatchee River Watershed Restoration Project Final Integrated Project Implementation Report and Environmental Impact Statement,EisDocuments-289621,U.S. Army Corps of Engineers,Water Works,FL,2/7/20,2
14953,8000144,Final Environmental Impact Statement for the Campo Wind Project with Boulder Brush Facilities,EisDocuments-288861,Bureau of Indian Affairs,Energy generation/transmission;Water Works,CA,1/31/20,2
14794,178,"Central and Southern Florida, Everglades Agricultural Area (EAA), Florida",EisDocuments-287984,U.S. Army Corps of Engineers,Water Works,FL,1/24/20,1
14931,8000134,Environmental Impact Statement/Environmental Impact Report for the Edwards AFB Solar Project,EisDocuments-288175,United States Air Force,Energy generation/transmission,CA,1/24/20,2
14944,2000343,Fallon Range Training Complex Modernization,EisDocuments-287361,United States Navy,Government Facilities/Operations,NV,1/10/20,4
14992,498,Gemini Solar Final Resource Plan Amendment and Final EIS,EisDocuments-286673,Bureau of Land Management,Energy generation/transmission,NV,12/27/19,5
15387,2000935,Reinitiation of Consultation on the Coordinated Long-Term Operation of the Central Valley Project and State Water Project,EisDocuments-286406,Bureau of Reclamation,Water Works,CA,12/20/19,2
15434,2000987,San Juan Islands National Monument Proposed Resource Management Plan and Final Environmental Impact Statement,EisDocuments-284103,Bureau of Land Management,Cultural/Historical,WA,11/22/19,1
15648,8000053,Jordan Cove Energy Project,DOI_0016,Federal Energy Regulatory Commission,,OR,11/22/19,6
15157,2000611,Long-Term Conservation Strategy for the Marbled Murrelet,EisDocuments-281632,Fish and Wildlife Service,Conservation/Restoration/ Bio. Resource use,WA,9/27/19,7
14815,2000221,Coastal Plain Oil and Gas Leasing Program,EisDocuments-281210,Bureau of Land Management,Mineral Resource Extraction,AK,9/20/19,131
14825,2000231,Colville National Forest Plan Revision,EisDocuments-281201,Forest Service,Land Management Plan,WA,9/20/19,3
15376,2000913,Ragged Ruby Project,EisDocuments-281335,Forest Service,Conservation/Restoration/ Bio. Resource use,OR,9/20/19,2
15398,1556,Revision of the Inyo National Forest Land and Resource Management Plan,EisDocuments-281343,Forest Service,Land Management Plan,CA,9/20/19,22
15247,1104,National Bison Range Final Comprehensive Conservation Plan and Environmental Impact Statement,EisDocuments-279813,Fish and Wildlife Service,Conservation/Restoration/ Bio. Resource use,MT,9/6/19,24
14806,2000209,Chugach National Forest Land Management Plan,EisDocuments-279582,Forest Service,Conservation/Restoration/ Bio. Resource use;Land Management Plan,AK,8/30/19,5
15572,2001183,Van Wyck Expressway Capacity and Access Improvements to JFK Airport Project,EisDocuments-279281,Federal Highway Administration,Transportation,NY,8/30/19,2
15013,2000420,"Grand Staircase-Escalante National Monument-Grand Staircase, Kaiparowits, and Escalante Canyon Units and Federal Lands previously included in the Monument that are excluded from the Boundaries Draft Resource Management Plans and Final Environmental Impact Statement",EisDocuments-278961,Bureau of Land Management,Land Management Plan,UT,8/23/19,1
15360,2000903,"Project No. DPI-0030(005), I-10 Mobile River Bridge and Bayway, Mobile and Baldwin Counties, Alabama",EisDocuments-279072,Federal Highway Administration,Water Works,AL,8/23/19,1
14691,2000047,Amendment 8 to the Atlantic Herring Fishery Management Plan,EisDocuments-278612,National Marine Fisheries Service,Conservation/Restoration/ Bio. Resource use,Atlantic Ocean;National,8/16/19,1
15026,2000434,Greater Sage-grouse Proposed Land Management Plan Amendments and Final Environmental Impact Statement for the Intermountain and Rocky Mountain Regions,EisDocuments-277706,Forest Service,Conservation/Restoration/ Bio. Resource use,CO;ID;NV;UT;WY,8/2/19,4
15033,2000450,"Gulf Intracoastal Waterway, Brazos River Floodgates and Colorado River Locks, Texas",EisDocuments-277741,U.S. Army Corps of Engineers,Water Works,TX,8/2/19,7
14732,4000028,Bears Ears National Monument Indian Creek and Shash Jaa Units Proposed Monument Management Plans and Associated Final Environmental Impact Statement,EisDocuments-277441,Bureau of Land Management,Cultural/Historical,UT,7/26/19,14
14783,2000178,Castle Mountains Restoration Project,EisDocuments-277527,Forest Service,Conservation/Restoration/ Bio. Resource use,MT,7/26/19,3
14742,2000128,Black Mountain Vegetation Management Project,EisDocuments-277124,Forest Service,Conservation/Restoration/ Bio. Resource use,OR,7/19/19,2
15555,,Uncompahgre Field Office Proposed Resource Management Plan and Final Environmental Impact Statement,EisDocuments-275950,Bureau of Land Management,Land Management Plan,CO,6/28/19,3
15610,,Yolo Bypass Salmonid Habitat Restoration and Fish Passage,EisDocuments-274548,Bureau of Reclamation,Conservation/Restoration/ Bio. Resource use,CA,6/7/19,9
14917,8000106,"East Rockaway Inlet to Rockaway Inlet and Jamaica Bay Reformulation, Atlantic Coast of New York",EisDocuments-274094,U.S. Army Corps of Engineers,Water Works,NY,5/31/19,4
14662,4000009,ADOPTION - Plaquemines LNG and Gator Express Pipeline Project,EisDocuments-273121,Department of Energy,Energy generation/transmission,LA,5/24/19,1
14678,2000015,"Adams and Denver Counties, Colorado General Investigation Study",EisDocuments-271425,U.S. Army Corps of Engineers,Conservation/Restoration/ Bio. Resource use,CO,5/10/19,66
15324,4000009,Plaquemines LNG and Gator Express Pipeline Project,EisDocuments-271726,Federal Energy Regulatory Commission,Energy generation/transmission,LA,5/10/19,1
15426,2000982,Saline Valley Warm Springs Management Plan,EisDocuments-271578,National Park Service,Land Management Plan,CA,5/10/19,9
15596,,Whittier Narrows Dam Flood Control Project Dam Safety Modification Study,EisDocuments-271764,U.S. Army Corps of Engineers,Water Works,CA,5/10/19,4
15107,2000544,John Wood Forest Management Project,EisDocuments-270891,Forest Service,Land Management Plan,ID,5/3/19,1
14676,2000011,Acadia National Park Final Transportation Plan and EIS,EisDocuments-268201,National Park Service,Transportation,ME,3/29/19,1
15154,2000603,Lolo Insect & Disease Project,EisDocuments-268155,Forest Service,Conservation/Restoration/ Bio. Resource use,ID,3/29/19,2
15389,2000936,Remediation of Area IV and the Northern Buffer Zone of the Santa Susana Field Laboratory,EisDocuments-264417,Department of Energy,Conservation/Restoration/ Bio. Resource use,CA,12/28/18,1
14651,1001079,ADOPTION - DART Cotton Belt Corridor Regional Rail Project,EisDocuments-263966,Federal Aviation Administration,Transportation,TX,12/14/18,1
15403,3000040,Riley Ridge to Natrona,EisDocuments-263872,Bureau of Land Management,Energy generation/transmission,WY,12/14/18,1
2946,1001079,DART Cotton Belt Corridor Regional Rail Project,EisDocuments-263310,Federal Transit Administration,Transportation,TX,12/7/18,1
5718,1002087,Idaho Greater-Sage Grouse Proposed Resource Management Plan Amendment and Final Environmental Impact Statement,EisDocuments-262943,Bureau of Land Management,Land Management Plan,ID,12/7/18,8
8385,2001255,Nevada and Northeastern California Greater-Sage Grouse Proposed Resource Management Plan Amendment and Final Environmental Impact Statement,EisDocuments-262925,Bureau of Land Management,Land Management Plan,CA;NV,12/7/18,6
8875,1003264,Northwest Colorado Greater-Sage Grouse Proposed Resource Management Plan Amendment and Final Environmental Impact Statement,EisDocuments-262976,Bureau of Land Management,Land Management Plan,CO,12/7/18,4
13650,1004987,Utah Greater-Sage Grouse Proposed Resource Management Plan Amendment and Final Environmental Impact Statement,EisDocuments-262994,Bureau of Land Management,Land Management Plan,UT,12/7/18,2
14509,1005288,Wyoming Greater-Sage Grouse Proposed Resource Management Plan Amendment and Final Environmental Impact Statement,EisDocuments-262968,Bureau of Land Management,Conservation/Restoration/ Bio. Resource use;Land Management Plan,WY,12/7/18,1
15295,1003346,Oregon Greater Sage-Grouse Proposed Resource Management Plan Amendment and Final Environmental Impact Statement,EisDocuments-263015,Bureau of Land Management,Land Management Plan,OR,12/7/18,1
12522,1001475,The Flathead National Forest Land Management Plan and the NCDE Grizzly Bear Plan Amendments,EisDocuments-262361,Forest Service,Conservation/Restoration/ Bio. Resource use,MT,11/23/18,8
15524,1004560,"The Great Lakes and Mississippi River Interbasin Study - Brandon Road Integrated Feasibility Study and Environmental Impact Statement - Will County, Illinois",EisDocuments-262401,U.S. Army Corps of Engineers,Water Works,IL,11/23/18,1
3959,8000143,Final Environmental Impact Statement For Issuing Annual Catch Limits To The Alaska Eskimo Whaling Commission For A Subsistence Hunt On Bowhead Whales For The Years 2019 And Beyond,EisDocuments-261064,National Marine Fisheries Service,Conservation/Restoration/ Bio. Resource use,Arctic Ocean,11/16/18,14
10799,1604,Sacramento Peak Observatory,EisDocuments-261641,National Science Foundation,Science,NM,11/16/18,2
8189,2000717,Nanushuk Project,EisDocuments-260614,U.S. Army Corps of Engineers,Energy generation/transmission,AK,11/2/18,81
10138,1003607,Prince of Wales Landscape Level Analysis Project,EisDocuments-260657,Forest Service,Land Management Plan,AK,11/2/18,7
8379,1143,Nevada Test and Training Range Land Withdrawal Legislative Environmental Impact Statement,EisDocuments-259952,United States Air Force,Government Facilities/Operations,NV,10/26/18,13
10321,2000920,Rebuild by Design (RBD) Meadowlands Flood Control Project,EisDocuments-259941,New Jersey Department of Environmental Protection,Water Works,NJ,10/26/18,1
14659,1002465,"ADOPTION - Liberty Development and Production Plan Beaufort Sea, Alaska Final Environmental Impact Statement",EisDocuments-258926,Environmental Protection Agency,Mineral Resource Extraction,AK,10/12/18,30
12148,1004441,Strategic Community Fuelbreak Improvement Project,EisDocuments-258409,Forest Service,Conservation/Restoration/ Bio. Resource use,CA,9/28/18,1
7813,2000686,Missouri River Recovery Management Plan,EisDocuments-256697,U.S. Army Corps of Engineers,Water Works,MT;ND;SD;NE;IA;KS;MO,9/7/18,15
451,2000033,Alpine Satellite Development Plan for the Proposed Greater Mooses Tooth 2 Development Project,EisDocuments-256362,Bureau of Land Management,Mineral Resource Extraction,AK,8/31/18,30
6712,885,"Liberty Development and Production Plan Beaufort Sea, Alaska Final Environmental Impact Statement",EisDocuments-256207,Bureau of Ocean Energy Management,Mineral Resource Extraction,AK,8/31/18,30
15944,2000591,Liberty Development Project Development and Production Plan in the Beaufort Sea,BOEM_2000,Bureau of Ocean Energy Management,,AK,8/31/18,30
3631,2000320,El Yunque National Forest Plan Revision EIS,EisDocuments-256061,Forest Service,Land Management Plan,PR,8/24/18,2
3488,2000303,East Hills Project,EisDocuments-255785,Forest Service,Conservation/Restoration/ Bio. Resource use,OR,8/17/18,1
15011,2000410,Gold Rock Mine Project,EisDocuments-254092,Bureau of Land Management,Mineral Resource Extraction,NV,7/27/18,1
6811,2000601,Lobert Restoration Project,EisDocuments-253306,Forest Service,Conservation/Restoration/ Bio. Resource use,OR,7/20/18,6
3967,3000036,Final Programmatic Environmental Impact Statement for Revision of the Coronado National Forest Land and Resource Management Plan,EisDocuments-251601,Forest Service,Land Management Plan,AZ;NM,6/22/18,12
8587,2000745,Normally Pressured Lance Natural Gas Development Project,EisDocuments-251808,Bureau of Land Management,Mineral Resource Extraction,WY,6/22/18,3
15581,2001193,Walla Walla Basin Spring Chinook Hatchery Program,EisDocuments-250802,Bonneville Power Administration,Conservation/Restoration/ Bio. Resource use,OR,6/8/18,1
10523,3000041,Ringo FEIS & FPA,EisDocuments-250181,Forest Service,Conservation/Restoration/ Bio. Resource use,OR,5/25/18,10
15323,1354,Plan Revision for the Coconino National Forest,EisDocuments-250248,Forest Service,Land Management Plan,AZ,5/25/18,3
1764,2000261,CP District-wide Salvage Project,EisDocuments-249904,Forest Service,Land Management Plan,CO,5/21/18,1
3964,8000146,Final Environmental Impact Statement/Environmental Impact Report for the South Sacramento Habitat Conservation Plan,EisDocuments-249582,Fish and Wildlife Service,Conservation/Restoration/ Bio. Resource use,CA,5/21/18,1
9107,2000795,"Otay River Estuary Restoration Project, South San Diego Bay Unit of the San Diego Bay National Wildlife Refuge, California; Final Environmental Impact Statement",EisDocuments-249984,Fish and Wildlife Service,Conservation/Restoration/ Bio. Resource use,CA,5/21/18,2
11054,2000995,Santa Fe National Forest Geothermal Leasing Final Environmental Impact Statement,EisDocuments-249641,Forest Service,Energy generation/transmission,NM,5/11/18,1
10240,1003760,"Pure Water San Diego Program, North City Project",EisDocuments-248425,Bureau of Reclamation,Water Works,CA,5/4/18,1
3272,1001186,Donlin Gold Project,EisDocuments-247774,U.S. Army Corps of Engineers,Mineral Resource Extraction,AK,4/27/18,63
1344,1000447,Black Hills Resilient Landscapes Project,EisDocuments-246801,Forest Service,Conservation/Restoration/ Bio. Resource use,SD;WY,3/30/18,3
1746,1000617,CALAM Monterey Peninsula Water Supply Project FEIR/FEIS,EisDocuments-246664,National Oceanic and Atmospheric Administration,Water Works,CA,3/30/18,2
14943,4000002,FEIS to Address the Presence of Wolves at Isle Royale National Park,EisDocuments-246061,National Park Service,Conservation/Restoration/ Bio. Resource use,MI,3/16/18,2
15492,8000032,Sterling Highway Milepost 45-60,EisDocuments-246073,Federal Highway Administration,Transportation,AK,3/16/18,4
15074,2000495,Hwy 46,EisDocuments-245825,Forest Service,Transportation,OR,3/9/18,1
15197,1003,Mertarvik Infrastructure Development Final EIS,EisDocuments-245866,Denali Commission,Economic and Urban Development/Commerce,AK,3/9/18,1
14818,3000003,Coeur d' Alene Basin Restoration Plan and Environmental Impact Statement,EisDocuments-245091,Forest Service,Conservation/Restoration/ Bio. Resource use,ID,2/23/18,1
15517,2001108,Tenmile - South Helena Project,EisDocuments-244901,Forest Service,Conservation/Restoration/ Bio. Resource use,MT,2/16/18,4
628,1000188,Antelope Grazing Allotments AMP,EisDocuments-242085,Forest Service,Conservation/Restoration/ Bio. Resource use,OR,11/24/17,3
15248,3000035,National Flood Insurance Program Nationwide Programmatic Environmental Impact Statement,EisDocuments-241083,Federal Emergency Management Agency,Water Works,National,11/3/17,1
15352,2000888,PROGRAMMATIC - Nationwide Public Safety Broadband Network for the Eastern United States,EisDocuments-240755,First Responder Network Authority,Economic and Urban Development/Commerce,DC;CT;DE;MA;MD;ME;NH;NJ;NY;PA;PRO;RI;VA;VT;WV,10/27/17,2
15565,2001152,Upper Green River Area Rangeland Project,EisDocuments-240721,Forest Service,Conservation/Restoration/ Bio. Resource use,WY,10/27/17,1
15463,1004228,Sonoran Desert National Monument Target Shooting Proposed Resource Management Plan Amendment and Final Environmental Impact Statement,EisDocuments-240441,Bureau of Land Management,Recreation,AZ,10/20/17,3
792,2000075,Atlanta-Chattanooga High Speed Ground Transportation Project,EisDocuments-239097,Federal Railroad Administration,Transportation,GA;TN,9/29/17,1
12802,1004664,Trinity Post Fire Hazard Reduction and Salvage,EisDocuments-239043,Forest Service,Conservation/Restoration/ Bio. Resource use,CA,9/22/17,1
15125,2000566,La Garita Hills Restoration Project,EisDocuments-238780,Forest Service,Conservation/Restoration/ Bio. Resource use,CO,9/8/17,4
15344,2000859,Power Fire Reforestation,EisDocuments-237930,Forest Service,Conservation/Restoration/ Bio. Resource use,CA,9/1/17,2
14709,2000072,Assateague Island National Seashore General Management Plan,EisDocuments-237807,National Park Service,Recreation,MD;VA;Atlantic Ocean,8/25/17,2
15280,2000766,Northern Pass Transmission Line Project,EisDocuments-237163,Department of Energy,Energy generation/transmission,NH,8/18/17,2
706,2000064,Arecibo Observatory,EisDocuments-236647,National Science Foundation,Science,PR,8/4/17,1
4597,527,Geological and Geophysical Activities on the Gulf of Mexico Outer Continental Shelf,EisDocuments-236760,Bureau of Ocean Energy Management,Mineral Resource Extraction,TX;LA;MS;AL;FL;Gulf of Mexico,8/4/17,1
15587,2001210,West Davis Corridor,EisDocuments-235749,Federal Highway Administration,Transportation,UT,7/21/17,1
15604,2001243,Wrangell Island Project,EisDocuments-235689,Forest Service,Conservation/Restoration/ Bio. Resource use,AK,7/14/17,4
14447,1004228,Withdrawn - Sonoran Desert National Monument Target Shooting Proposed Resource Management Plan Amendment,EisDocument-BLM-00030,Bureau of Land Management,Recreation,AZ,6/23/17,9
15516,2001107,Ten Cent Community Wildfire Protection Project,EisDocuments-234301,Forest Service,Conservation/Restoration/ Bio. Resource use,OR,6/23/17,2
15382,2000919,Rebuild by Design - Hudson River (RBD-HR),EisDocuments-233801,Department of Housing and Urban Development,Water Works,NJ,6/16/17,1
142,2000850,ADOPTION - Delfin LNG Deepwater Port,EisDocuments-231435,Department of Energy,Mineral Resource Extraction,Other,4/28/17,1
10448,2000940,Replacement Robley Rex VA Medical Center,EisDocuments-231345,Department of Veteran Affairs,Government Facilities/Operations,KY;IN,4/28/17,2
2103,1000742,Center Horse Landscape Restoration Project,EisDocuments-230999,Forest Service,Conservation/Restoration/ Bio. Resource use,MT,4/21/17,2
15453,2001017,Shoreline II Outfitter/Guide,EisDocuments-228784,Forest Service,Recreation,AK,3/17/17,6
6888,1002533,Long-Term Plan to Protect Adult Salmon in the Lower Klamath River,EisDocuments-227454,Bureau of Reclamation,Conservation/Restoration/ Bio. Resource use,CA,1/27/17,1
395,1000099,Alcatraz Ferry Embarkation,EisDocuments-227172,National Park Service,Transportation,CA,1/23/17,3
3734,5000007,Energy Gateway South Powerline (EGS),EisDocuments-226576,Forest Service,Energy generation/transmission,UT,1/13/17,1
15179,2000635,Magone Project,EisDocuments-225654,Forest Service,Conservation/Restoration/ Bio. Resource use,OR,1/6/17,1
14933,2000333,Eureka Arcata Route 101 Corridor Improvement Project,EisDocuments-225021,Federal Highway Administration,Transportation,CA,12/30/16,1
17237,4000027,Bay Delta Conservation Plan/California WaterFix,2016_8055,,,,12/30/16,4
14840,2000249,Cook Inlet Planning Area Oil and Gas Lease Sale 244,EisDocuments-224283,Bureau of Ocean Energy Management,Mineral Resource Extraction,AK,12/23/16,14
13509,1004787,"Update of the Water Control Manual for the Apalachicola-Chattahoochee-Flint River Basin in Alabama, Florida, and Georgia and a Water Supply Storage Assessment",EisDocuments-223530,U.S. Army Corps of Engineers,Water Works,AL;FL;GA,12/16/16,3
15053,2000477,Heeia National Estuarine Research Reserve,EisDocuments-223645,National Oceanic and Atmospheric Administration,Conservation/Restoration/ Bio. Resource use,HI,12/16/16,31
15289,2000784,Oil and Gas Leasing in Portions of the Wyoming Range in the Bridger-Teton National Forest,EisDocuments-224106,Forest Service,Mineral Resource Extraction,WY,12/16/16,1
15455,2001019,Silvio O. Conte National Fish and Wildlife Refuge Final Comprehensive Conservation Plan,EisDocuments-223884,Fish and Wildlife Service,Conservation/Restoration/ Bio. Resource use,CT;MA;NH;VT,12/16/16,5
3408,2000300,Eagle Take Permits for the Chokecherry and Sierra Madre Phase I Wind Energy Project,EisDocuments-223034,Fish and Wildlife Service,Energy generation/transmission,WY,12/9/16,2
7037,2000624,"Lower Klamath, Clear Lake, Tule Lake, Upper Klamath, and Bear Valley National Wildlife Refuges, Final Comprehensive Conservation Plan",EisDocuments-223176,Fish and Wildlife Service,Conservation/Restoration/ Bio. Resource use,CA;OR,12/9/16,5
132,1000756,ADOPTION - Central Everglades Planning Program,EisDocuments-222537,National Park Service,Water Works,FL,12/2/16,1
15301,2000799,Outer Continental Shelf Oil and Gas Leasing Program:2017-2022,EisDocuments-222166,Bureau of Ocean Energy Management,Mineral Resource Extraction,AK;TX;LA;MS;AL;Gulf of Mexico;Beaufort Sea;Chukchi Sea;Cook Inlet,11/25/16,21
15339,2000850,Port Delfin Project Deepwater Port Application,EisDocuments-222198,U.S. Coast Guard,Mineral Resource Extraction,Gulf of Mexico;LA;TX,11/25/16,1
15370,4000010,Proposed Land use Plan Amendment for the Boardman to Hemingway Transmission Line Project,EisDocuments-222256,Bureau of Land Management,Energy generation/transmission,OR;ID,11/25/16,5
15490,2001073,State Route 79 Realignment Project: Domenigoni Parkway to Gilman Springs Road,EisDocuments-220102,California Department of Transportation,Transportation,CA,11/4/16,2
17467,1445,Programmatic - Outer Continental Shelf Oil and Gas Leasing Program: 2017-2022,BOEM_6005,Bureau of Ocean Energy Management,,AK;VA;NC;SC;GA;TX;LA;MS;AL;Gulf of Mexico;Chukchi Sea;Beaufort Sea;Cook Inlet;Atlantic Ocean,11/1/16,21
13721,2001184,Vantage to Pomona Heights 230kV Transmission Line Project,EisDocuments-219211,Bureau of Land Management,Energy generation/transmission,WA,10/21/16,2
14923,2000315,Effects of Oil and Gas Activities in the Arctic Ocean,EisDocuments-219321,National Oceanic and Atmospheric Administration,Mineral Resource Extraction,AK,10/21/16,69
15171,2000630,"Lower Yellowstone Intake Diversion Dam Fish Passage Project, Montana",EisDocuments-219344,U.S. Army Corps of Engineers,Conservation/Restoration/ Bio. Resource use,MT;ND,10/21/16,1
6882,2000612,Long-Term Experimental and Management Plan (LTEMP) for the Operation of Glen Canyon Dam,EisDocuments-218701,Bureau of Reclamation,Water Works,NV;AZ;UT;CA,10/14/16,13
14975,2000368,Forestwide Site-Specific Invasive Plant Management,EisDocuments-217741,Forest Service,Conservation/Restoration/ Bio. Resource use,WA,9/30/16,7
15139,2000579,Lassen National Forest Over-Snow Vehicle(OSV) Use Designation,EisDocuments-217628,Forest Service,Recreation,CA,9/16/16,2
610,1000181,Angoon Airport Project,EisDocuments-216501,Federal Aviation Administration,Transportation,AK,9/2/16,4
10187,1000362,Proposed Resource Management Plans for the Beaver Dam Wash and Red Cliffs National Conservation Areas; Proposed Amendment to the St. George Field Office Resource Management Plan,EisDocuments-216857,Bureau of Land Management,Land Management Plan,UT,9/2/16,2
15316,2000828,Phase 2 Fuel Efficiency Standards for Medium- and Heavy-Duty Engines and Vehicles,EisDocuments-213903,National Highway Traffic Safety Administration,Transportation,National,8/26/16,10
10106,1003593,Previously Issued Oil and Gas Leases in the White River National Forest,EisDocuments-212774,Bureau of Land Management,Mineral Resource Extraction,CO,8/5/16,1
3548,2000310,Eastern Interior Proposed Resource Management Plan,EisDocuments-212439,Bureau of Land Management,Land Management Plan,AK,7/29/16,14
7036,1002587,Lower Joseph Creek Restoration Project,EisDocuments-211901,Forest Service,Conservation/Restoration/ Bio. Resource use,OR,7/22/16,2
8185,1002990,Na Pua Makani Wind Project and Habitat Conservation Plan,EisDocuments-211864,Fish and Wildlife Service,Energy generation/transmission,HI,7/22/16,1
14754,67,Bottineau Light Rail Transit Metro Blue Line Extension FEIS,EisDocuments-211361,Federal Transit Administration,Transportation,MN,7/15/16,2
15137,1002421,Land-Water Interface and Service Pier Extension at Naval Base Kitsap Bangor,EisDocuments-211444,United States Navy,Government Facilities/Operations,WA,7/15/16,1
15195,2000659,Mendota Pool Bypass and Reach 2B Improvements Project,EisDocuments-211561,Bureau of Reclamation,Conservation/Restoration/ Bio. Resource use,CA,7/15/16,2
15375,2000910,Puget Sound Nearshore Ecosystem Restoration,EisDocuments-211575,U.S. Army Corps of Engineers,Conservation/Restoration/ Bio. Resource use,WA,7/15/16,2
15515,2001106,Telegraph Vegetation Project,EisDocuments-211637,Forest Service,Conservation/Restoration/ Bio. Resource use,MT,7/15/16,2
14762,2000156,Bull Mountain Unit Master Development Plan,EisDocuments-211187,Bureau of Land Management,Mineral Resource Extraction,CO,7/8/16,3
14875,2000292,Dominguez-Escalante National Conservation Area Proposed Resource Management Plan,EisDocuments-210732,Bureau of Land Management,Land Management Plan,CO,7/1/16,2
15115,2000548,Kake to Petersburg Transmission Line Intertie Project,EisDocuments-210850,Forest Service,Conservation/Restoration/ Bio. Resource use;Energy generation/transmission;Land Management Plan,AK,7/1/16,1
15531,2001124,Tongass Land and Resource Management Plan Amendment,EisDocuments-210841,Forest Service,Land Management Plan,AK,7/1/16,2
4066,2000361,Flint Foothills Vegetation Management Project,EisDocuments-210558,Forest Service,Conservation/Restoration/ Bio. Resource use,MT,6/24/16,1
10463,1547,Restoration of Native Species in High Elevation Aquatic Ecosystems Plan and FEIS,EisDocuments-209698,National Park Service,Conservation/Restoration/ Bio. Resource use,CA,6/10/16,8
11597,1747,"South Bay Salt Pond Restoration Project Final Environmental Impact Statement/Report, Phase 2",EisDocuments-209287,Fish and Wildlife Service,Conservation/Restoration/ Bio. Resource use,CA,6/3/16,1
11974,1004380,Spruce Beetle Epidemic and Aspen Decline Management Response,EisDocuments-209579,Forest Service,Conservation/Restoration/ Bio. Resource use,CO,6/3/16,2
2525,1000903,Coeur Rochester Mine Plan of Operations Amendment 10 and Closure Plan,EisDocuments-208440,Bureau of Land Management,Mineral Resource Extraction,NV,5/20/16,1
11878,1003706,Southwest Coastal Louisiana,EisDocuments-208767,U.S. Army Corps of Engineers,Water Works,LA,5/20/16,2
3736,1001355,Energy Gateway South Transmission Project,EisDocuments-207986,Bureau of Land Management,Energy generation/transmission,CO;WY;UT,5/13/16,3
